,n_ap,first_ap_time,first_ap_amp,first_ap_width
0,2,6,58.881427073255814,13.620908825172442
1,3,6,46.18349508865199,7.132705064018197
2,1,7,34.122382767088645,8.834175584807529
3,1,7,41.796535486457294,4.948380489246067
4,1,6,57.83214889474326,52.10265326996881
5,1,6,52.084128723594276,21.728821283265216
6,1,6,46.24153296501418,16.516810229416723
7,1,5,42.129568665627964,26.42404505997199
8,2,6,60.5828133778397,8.127077135008008
9,1,6,56.17523893169488,5.8028898642477635
10,2,6,57.38287937100378,38.6445265118778
11,1,7,36.91319935152956,10.988784144109296
12,1,8,45.88123478751231,17.550182375917146
13,2,5,58.39009635462265,5.862093015355791
14,1,6,54.07327748082359,14.621295783954315
15,1,6,63.555473914302816,16.973580176476077
16,1,6,48.61254763395286,10.075844961070207
17,3,6,61.879948695591324,60.14758771823485
18,2,7,47.77085117449408,22.20189969060035
19,2,6,39.157482174231006,3.720975693669047
20,2,6,54.9407120271942,4.854161192334067
21,1,7,53.21080564144643,60.514755056920215
22,1,7,57.778526147291174,139.50076509443394
23,2,6,62.18927557956503,5.432420713429658
24,1,7,52.20429481287837,22.4191390032145
25,1,6,58.348012280434226,29.06837575134906
26,1,8,38.93978903061839,8.789698420507754
27,1,6,54.087908287901925,10.213048700614404
28,1,7,48.8641885338599,93.34417512056383
29,1,7,43.050755447308475,14.194037597854296
30,2,7,37.41198176989439,8.440445302776592
31,1,6,52.088085809526454,12.869493106230548
32,2,7,58.60479335406721,21.146575932409235
33,2,6,55.69306411817904,6.740369495621759
34,1,7,41.46242215860842,20.755577282005806
35,2,7,49.66589198946084,15.68191522774216
36,1,7,51.90188844093577,19.135069190223003
37,3,6,52.661022312764686,10.490084811047328
38,1,7,42.34970126879344,12.886610454267842
39,1,6,53.431063676820955,21.693867548733802
40,1,6,46.10271723218849,38.038320250951045
41,1,7,57.471696528274386,40.20951179702843
42,1,6,60.97668621760608,61.47924289435713
43,2,6,46.452979877210424,4.791953685587066
44,2,7,43.11913622487277,4.915948448781046
45,1,6,49.044873124206866,3.7195655654678053
46,1,6,55.130040038873595,5.368071123046443
47,1,6,39.54232947864697,13.252541208037181
48,1,8,56.78528064944695,10.20251029812699
49,1,9,60.86495684809038,10.148385150562142
50,1,6,48.48497504619465,19.570389579903765
51,1,7,44.72683917484984,13.236584109514919
52,1,6,54.61669882767164,7.008391051322891
53,1,7,51.332462471488455,9.936140955076308
54,3,7,41.42089353793726,12.304173816375902
55,2,7,45.44677287882058,23.27663930780117
56,2,6,43.377048152408,3.1476652460133296
57,1,6,45.766727950796486,7.848963102263664
58,3,6,62.19309583822936,7.46552571125163
59,1,5,53.06262318224246,2.846522289047024
60,1,6,49.44626579046178,29.134935991219628
61,1,7,50.55386650804483,8.38485627020013
62,3,7,62.656491431654345,31.108045613612234
63,2,6,58.521106375686344,8.99288057520596
64,1,8,31.232795893367427,8.556956621460898
65,1,7,49.485391769478646,24.38646154368268
66,1,6,39.276955937931326,8.65409740965909
67,1,6,61.942315536960585,11.295629284471303
68,2,6,55.6398787607206,41.33152935861974
69,1,7,36.12281409715872,10.918922479361648
70,1,6,55.97722643878399,31.596172230329195
71,1,7,41.53524795642183,8.138825243461726
72,2,6,65.89080903478495,30.59844957841251
73,1,7,41.025728820008624,14.989708469735735
74,1,5,52.32928547481205,6.909063380547562
75,1,7,36.464576138032974,14.139461689179582
76,1,7,41.69432405862454,17.59421216769006
77,1,6,47.58772272164622,8.306246667537485
78,2,6,49.78919948285384,2.877366815156397
79,1,7,47.797775174187116,8.271475624614293
80,1,7,49.04030588922412,10.381548370998786
81,1,6,41.19858281787694,6.5157657405458504
82,2,7,54.547028131569604,12.27029643823509
83,1,7,42.88180888229985,14.755019311525484
84,1,6,40.480455363568,15.706379722240186
85,1,7,40.46311172618507,5.822060393272137
86,1,6,51.460979555921746,8.17774306332306
87,2,7,37.682566096948406,4.813539685254217
88,1,7,48.46518967571697,16.200066022812162
89,1,6,61.89370711747037,15.537902269371543
90,1,6,63.49577608448462,12.19690670814902
91,2,8,46.54122474387453,43.18725565295898
92,3,6,43.946150182880345,18.217275978198973
93,2,7,38.6527759923395,2.3503541207291523
94,1,7,56.75044338244608,33.74593324577217
95,1,7,51.51208209089506,39.50879107985126
96,1,7,40.97861898190948,16.721522706125356
97,1,7,43.40258540203117,120.3964809347644
98,1,7,41.80168933476132,10.61212731941789
99,2,7,53.555926985315544,4.268625798117502
100,1,6,38.69060323871287,6.854205954139236
101,1,7,42.234294054061735,9.79432223914343
102,2,8,45.76964230626196,3.8379355762617084
103,2,7,46.60101726962332,4.164085530551499
104,1,7,45.378337112162285,56.72264455594327
105,1,9,50.18786873525481,42.523060764586866
106,1,7,42.86283702424516,18.631443033683286
107,1,6,52.94359623169492,15.039965906119784
108,1,6,36.46996972543523,7.885086334541178
109,1,6,51.164510455244724,4.818054691978917
110,2,7,49.98708026788035,6.888407289999215
111,2,7,50.976826184140045,4.9672787878020905
112,1,7,42.16188071165403,11.23863778908383
113,1,7,44.49547645599162,108.8128786472738
114,1,7,38.5281203111152,26.188938784105666
115,2,6,57.802454626263724,32.330457311269214
116,1,8,40.40202940870833,33.738508874689025
117,1,7,38.99666860505651,11.367538381673834
118,1,7,43.75734806441017,12.452464936512897
119,1,6,54.39579145661693,13.543158614881467
120,3,6,45.98168812656227,7.071247319449766
121,1,5,61.270238889666864,5.914166499818695
122,1,7,51.452886206589135,45.759868271042684
123,1,7,48.41352202473768,6.938764179239227
124,1,7,38.19244335605758,11.082659066455042
125,1,7,48.552143493559115,6.793689128489183
126,1,6,55.8646002327436,6.351247754022132
127,1,7,54.87867007543175,14.107612467429785
128,1,6,48.75613527664608,2.8020999901889487
129,1,8,40.640917923259494,22.803390259874025
130,1,7,43.376849204809425,19.844178448921856
131,1,6,53.520916936873334,11.194314329658846
132,2,6,54.93164296758015,2.950002902483085
133,2,7,45.73074418560176,8.331726128323066
134,1,7,49.581431730065404,96.56148145194578
135,2,6,45.79711432580983,2.4014200749514307
136,1,7,62.6823145433059,23.934281753154874
137,1,7,39.20145894054539,9.701780825442011
138,1,8,51.728067164070254,8.15017898896274
139,1,8,36.044232306034395,12.427576719953876
140,1,6,59.94126354390563,56.13635287285069
141,1,8,49.0009413092761,17.265049703998557
142,1,6,57.54894274317496,7.987278583317836
143,1,6,45.8633936630641,6.990027549195836
144,1,8,37.85724283456905,17.829528467267814
145,1,6,54.3017381161646,51.86039440953054
146,1,6,45.789432667884256,7.108837823456431
147,1,7,44.73171276520505,13.645118749065722
148,1,7,54.32045367768652,9.759196219699149
149,1,6,55.41975777088893,22.662353928101712
150,2,6,47.87048131158897,2.8979927171910562
151,1,7,41.18759598908846,17.943661406052392
152,1,7,46.591628782659406,5.474832961301454
153,1,8,50.987131354503745,36.48260416684891
154,1,6,49.965977821883364,21.48454341161341
155,2,6,58.018645961298894,2.7009955541048534
156,1,7,41.76315369265475,29.720606581289125
157,2,7,42.15096883735697,6.14470784596964
158,1,6,41.498940228485004,5.135958490515005
159,1,7,42.52568861298485,11.198335952449117
160,2,7,47.87309670413251,10.098384317828147
161,1,7,56.59289058969034,13.611538551055222
162,1,7,40.4437383879957,8.31142613971048
163,1,7,50.5854527596801,10.897032707100372
164,1,7,53.53836261729838,9.757121885942539
165,1,7,44.67260818201597,8.851540036106815
166,2,5,49.97825642386997,15.013839350280255
167,1,6,59.69874518317441,15.82421089766407
168,2,6,56.39244914140025,14.65275072718406
169,3,6,59.10344370907411,10.37361279756568
170,1,6,44.911281650288814,9.445600519710744
171,2,7,40.31092919571663,4.390817762510483
172,1,7,41.7409535151999,11.667637485754128
173,1,8,48.575240717637136,28.415290627870508
174,1,6,44.45245546988985,19.394182690919443
175,2,5,59.868582532450894,9.475693817966468
176,1,7,50.18112528389234,114.52539790125785
177,2,7,58.89687469691327,70.56739414501064
178,3,7,34.57988329989831,10.147511852548217
179,1,7,44.40843772389852,86.87246674958877
180,1,6,46.0460231407082,8.501005910362753
181,1,7,48.1593556509167,137.59290751469638
182,1,7,45.434323166115284,4.975513512099844
183,1,7,44.44182633792179,22.616784902315253
184,2,6,53.406600729957425,9.816386785387138
185,1,6,63.06375544177697,12.401874451469915
186,1,6,55.336051505467,12.164466863576902
187,1,7,42.011733952949456,9.292905483254778
188,1,8,39.57913447944746,21.498801726223927
189,1,7,54.78483704561164,38.91343463853731
190,1,6,62.175089728042686,9.285897713975935
191,1,6,52.31436052952944,6.161773759080892
192,2,7,52.40482913575757,12.465266208762124
193,1,6,39.69941883833537,6.652910238718083
194,1,7,58.76010399953521,25.803362012222895
195,1,8,40.11693992148585,20.414924633149816
196,1,6,52.583320608284254,4.811007182632881
197,1,6,48.18737804491784,11.284185969412244
198,1,7,46.59588078730069,26.20615164304346
199,1,7,42.296603324843495,6.265125360778818
200,2,6,47.5412918271488,4.958959450207173
201,1,7,48.931805285128895,27.543434841975536
202,1,7,48.46929589951794,52.62143636575077
203,2,7,44.94546366419149,6.613378391144168
204,1,7,39.58012676981496,9.60932492197686
205,1,9,36.526328294734434,30.979204786488232
206,2,6,52.15181191697895,4.756156162482951
207,1,7,55.30253407243822,21.65826962638814
208,2,7,37.4043805021939,5.02318071898626
209,2,7,33.36005506360533,5.329150154443263
210,1,6,58.3923215715164,8.104970583174875
211,2,7,50.80846150954268,4.5516837710371565
212,1,6,51.40272775693518,20.87621791900007
213,1,8,29.891703254557203,7.298705493607365
214,1,8,39.83363094996832,13.598380051804389
215,1,7,57.8088856785345,51.531129815932744
216,1,7,48.23335170530702,37.4244783540558
217,3,7,43.88871265902209,8.448212979035539
218,1,7,39.38755090158895,15.602531535861885
219,2,7,44.994250133799,5.228625750167548
220,1,6,45.43579033763342,11.419167727315163
221,1,7,45.656623186452045,35.83059146293791
222,1,7,45.13440801424508,45.872305179709784
223,1,8,32.17458759587938,21.461902111399848
224,1,8,37.88116349340812,11.645782890745746
225,1,6,56.39806911764892,3.1500202789724367
226,1,6,45.62047504103947,7.309609910777777
227,2,7,45.55139794378985,185.77420407064713
228,1,6,49.184242024840096,7.716332272691121
229,1,6,52.379641631033095,90.07447743803641
230,1,6,37.02119010958146,8.12855293839905
231,1,7,48.57738444791804,11.712174541071338
232,1,6,52.30480934350828,18.157712579744555
233,1,7,43.77326439766521,72.68194931512124
234,2,6,66.0539827226011,2.5905253123634573
235,2,7,52.97935373913258,17.938061853223296
236,1,9,41.70790160218461,23.67466140731745
237,1,7,37.42075569138321,6.9629949081906375
238,1,6,53.9212547626714,3.6278389415319143
239,1,7,44.56323632425513,6.103323654814159
240,1,7,52.38495145580911,11.515218438713555
241,2,6,61.17497586601929,66.02824910251348
242,1,8,43.489826999350605,20.62109195918334
243,1,6,59.9477199382676,6.187724524754538
244,1,6,61.044418666298725,25.75622410333376
245,1,7,49.32198671565028,32.104737382066865
246,2,7,51.19196107641484,16.27228109148304
247,1,8,45.25781536960497,40.70328729646343
248,1,7,50.79580288539237,97.40934981088415
249,2,6,51.37556820294587,7.0895485649735095
250,1,7,62.84769505532357,11.075761394673023
251,1,6,45.34620078421458,6.931034289233613
252,1,6,46.735573229690026,5.855277168666416
253,1,6,52.51574698601326,26.083354286417507
254,2,6,53.401873194499295,6.7467904977172815
255,1,6,39.25929762791024,9.466480321210696
256,2,6,50.788791520959435,4.870443067338012
257,1,7,47.36484799123448,6.455870015288424
258,1,7,48.34712791495306,13.546878186690883
259,2,8,47.3353099896502,4.772129242338121
260,2,6,47.680914834229355,10.070942904687811
261,2,7,51.387981442975644,24.31292278617496
262,1,7,54.997509982584226,12.716015509786823
263,2,6,60.93675913076278,4.749180479901776
264,4,5,53.87619773410969,9.690279637347409
265,1,7,62.03097945716932,56.74168282492942
266,1,6,61.652823205854,10.699929196320731
267,1,8,35.908152492000006,20.057180002371304
268,2,6,46.78035771198361,5.358280001303993
269,1,6,42.475513595606536,167.55836288607426
270,1,5,61.76003360181321,5.589386633513032
271,1,6,55.714917286203615,10.47545283881137
272,1,8,38.87072857129888,50.026120482605975
273,1,6,52.166572813644535,10.14866949820392
274,1,7,43.480801671529996,17.823459894139578
275,1,6,69.4039631235169,6.3375795869311276
276,1,6,57.99532933177235,11.79853222394119
277,1,7,41.659958316538976,8.686697975186888
278,1,7,47.4748022503581,13.987847745939147
279,1,7,36.02148099393385,21.408194741416214
280,3,5,49.51370080012329,6.361257942495484
281,1,7,41.54512405326547,6.847819846103982
282,1,7,35.725382545042685,17.08078447701594
283,1,8,41.32002962975732,22.54496291325948
284,1,6,52.97693193655105,114.8469914842233
285,1,6,52.970102612410614,10.886210254585478
286,2,7,52.947739309866584,6.946818109456696
287,2,6,51.34547549868059,16.472978955363097
288,1,6,55.82917528353472,44.027813650235316
289,1,5,57.68650184355672,6.754308671247664
290,1,6,62.61232001914879,8.923505377149933
291,1,6,50.32802273574679,6.1014557512220735
292,1,7,53.687152767773334,17.178982780631035
293,3,7,44.24965278815843,8.343593742254592
294,1,7,43.55381449272088,21.12642903767724
295,2,6,63.16185289989896,2.8287117023529627
296,1,7,51.56838320927026,5.991334846977486
297,1,7,49.70989160610236,14.35720952396809
298,2,7,45.348010589678424,4.842839295987977
299,1,7,43.19313487516349,16.227089076768955
300,1,6,44.8773008802007,7.528068089356376
301,2,6,55.206129042237436,3.1804727660223326
302,1,6,59.57422890689568,7.92615598061627
303,2,4,55.753142265384376,14.726624391994374
304,1,6,54.745511471957215,8.587482930993666
305,1,8,34.05705313615159,28.31144106670407
306,1,7,48.0425793534369,7.728022643439727
307,1,7,39.15568159448183,15.299707084755248
308,4,6,56.177386643515575,10.597149196243635
309,1,7,44.29069521004769,8.85234948300985
310,2,6,60.88265135880199,4.6905020528690935
311,2,7,48.31384110433727,96.0003623711089
312,1,7,48.055871177734815,33.11105282459711
313,1,6,57.10660869696254,63.24653747896456
314,1,7,35.449376496730544,10.532725372585777
315,2,8,43.22108586507905,3.9050030190671414
316,1,6,47.08341307058898,20.661055740907145
317,1,6,50.074119444188156,16.598483145936573
318,1,7,55.711872480704066,10.329459731906685
319,2,7,54.11194159768672,28.40478385508937
320,1,8,39.101806474680025,29.801468119540957
321,1,8,46.689612890017315,16.168513071409375
322,1,8,41.865033677262595,35.45641684494279
323,1,6,43.54116665626775,7.979665563007233
324,2,6,53.69015467561294,5.977101641749914
325,1,7,38.396522525651,13.531955343363839
326,2,6,64.94159143242292,35.798203995653076
